iter	RMSE
0	0.01426818736
1	0.01400650804
2	0.01368197442
3	0.01341595662
4	0.0131432294
5	0.01274109388
6	0.01247766122
7	0.01219062548
8	0.01190153176
9	0.01162058355
10	0.01135308674
11	0.01110597444
12	0.0108501267
13	0.01054289133
14	0.01028237942
15	0.01005401641
16	0.009917876476
17	0.009717296648
18	0.009553803551
19	0.009386758427
20	0.009141960082
21	0.008959905286
22	0.00879020948
23	0.008573485111
24	0.00837658489
25	0.008186495168
26	0.008024970738
27	0.00781335603
28	0.007642950431
29	0.007505194696
30	0.007330572885
31	0.007181872611
32	0.007067695638
33	0.006896737659
34	0.006851538481
35	0.00668912601
36	0.006552483768
37	0.006425323757
38	0.006304922049
39	0.006205726699
40	0.006058503763
41	0.005985013573
42	0.005914985626
43	0.00577710898
44	0.00569108601
45	0.005550739021
46	0.005389701584
47	0.005265863495
48	0.005222038148
49	0.0051462629
50	0.00506685369
51	0.005019877618
52	0.004879016852
53	0.004781734851
54	0.004659887902
55	0.004591778838
56	0.004511010786
57	0.004418091878
58	0.004319641738
59	0.004185948217
60	0.004077771868
61	0.003968689974
62	0.003915639816
63	0.003795120152
64	0.003730684635
65	0.003615971197
66	0.003520829351
67	0.003437250087
68	0.003355660398
69	0.003244863313
70	0.003166824986
71	0.003082756247
72	0.002999929944
73	0.002943645826
74	0.002854799434
75	0.002776922999
76	0.002694905064
77	0.00260968437
78	0.002568630214
79	0.002498496782
80	0.002462082247
81	0.002386260404
82	0.002326748964
83	0.002259211077
84	0.002197825084
85	0.002130847227
86	0.00210551254
87	0.00204270653
88	0.001990598935
89	0.001932095294
90	0.001876560195
91	0.001847853739
92	0.00181512039
93	0.001761771587
94	0.001736029932
95	0.001676189955
96	0.001647402755
97	0.00161539934
98	0.001596019713
99	0.001577471701
100	0.0015311801
101	0.001508522853
102	0.001465043462
103	0.001447987347
104	0.001407006495
105	0.00136587738
106	0.001349252973
107	0.001312059059
108	0.001270584001
109	0.001256438641
110	0.001240037134
111	0.001227900648
112	0.001196111367
113	0.001172347153
114	0.001138850558
115	0.0011023858
116	0.001087257465
117	0.001052090335
118	0.001027297663
119	0.001003472335
120	0.0009937700689
121	0.0009627915305
122	0.0009365428976
123	0.0009185687788
124	0.0009037715184
125	0.0008784044717
126	0.0008540374832
127	0.0008418852753
128	0.000818773563
129	0.0007965728073
130	0.0007745387713
131	0.0007537626065
132	0.0007323445179
133	0.0007233547001
134	0.0007031943736
135	0.0006840069286
136	0.0006686303121
137	0.0006522927594
138	0.0006365417247
139	0.0006183922114
140	0.0006020989773
141	0.0005932511312
142	0.0005741127563
143	0.0005561933072
144	0.0005426086616
145	0.0005367714692
146	0.000520961147
147	0.0005077523564
148	0.0004954267844
149	0.000490643915
150	0.0004750769782
151	0.0004594993018
152	0.0004511726898
153	0.0004370889655
154	0.0004308463571
155	0.0004174554478
156	0.0004046721703
157	0.000393770116
158	0.0003837933178
159	0.0003783471985
160	0.0003746694022
161	0.0003633678573
162	0.0003540905732
163	0.0003490722393
164	0.0003386774541
165	0.000331093811
166	0.0003237623908
167	0.0003166750601
168	0.0003098240324
169	0.0003069567529
170	0.0002996683394
171	0.0002969782275
172	0.0002896271146
173	0.0002869071619
174	0.000280567722
175	0.0002776423165
176	0.0002701219073
177	0.000262272536
178	0.0002549524604
179	0.000249352202
180	0.0002470772116
181	0.0002402485203
182	0.0002344543375
183	0.0002280327465
184	0.0002227871919
185	0.0002209912283
186	0.000215461289
187	0.000213636792
188	0.000208337891
189	0.0002033783673
190	0.0001979168536
191	0.0001932617935
192	0.0001916611808
193	0.0001869696347
194	0.0001827657076
195	0.0001814256844
196	0.0001766354555
197	0.0001715504646
198	0.0001670433575
199	0.0001632805895
